itemId	Headline	Typography
jxMuJYMZn7BCIg	Daily life in RAJASTHAN, INDIA ðŸ‡®ðŸ‡³- CITY vs RURAL	1
BB1pyNbo	Review: INSANE 8-across Business Class on United's 777-200	1
AA1oW3oj	10 of the Coolest Cars Ever Made & 10 That Nobody Cares About	0
AA1okiqu	BLACK FOREST Mega Cake!! _ How To Cake It	1
a/rQpjinFbzVzg	THE COBRA LIVES! I Fixed a DISASTER & Got My Abandoned SVT Running By Ripping Out 50 LBS of GARBAGE!	1
BB1mkaKo	â€˜Dune: Prophecy' Casts Indian Superstar Tabu (EXCLUSIVE)	0
BB1qRwv9	NBA 2K17 Tips: best point forward build	0
BB1qQjIY	EXCLUSIVE: House Of Kush Partners With Pleasantrees To Bring Legacy Cannabis Genetics To Michigan	0
BB1pWzdp	People in council tax bands A to E face ANOTHER bill after 'exemption ends'	0
BB1qR45F	LOOK: Marcos meets with Blinken, Austin at MalacaÃ±ang	0